title,url,published,document_type,organisations,evaluation_type,method_signal
Evaluation of entry and expansion in UK merger cases,https://www.gov.uk/government/publications/evaluation-of-entry-and-expansion-in-uk-merger-cases,2017-04-06T12:03:09Z,research,Competition and Markets Authority,economic,economic_model
Impact evaluation report: Herschel SPIRE instrument,https://www.gov.uk/government/publications/impact-evaluation-report-herschel-spire-instrument,2017-03-31T08:45:33Z,research,UK Space Agency,impact,unstated
Evaluation of the Green Deal Communities Private Rented Sector funding,https://www.gov.uk/government/publications/evaluation-of-the-green-deal-communities-private-rented-sector-funding,2017-03-30T08:30:36Z,research,"Department for Energy Security and Net Zero; Department for Business, Energy & Industrial Strategy",process,unstated
National Careers Service: economic evaluation,https://www.gov.uk/government/publications/national-careers-service-economic-evaluation,2017-03-29T16:35:01Z,research,Department for Education,economic,unstated
M25 junction 23 to 27 second year evaluation report,https://www.gov.uk/government/publications/m25-junction-23-to-27-second-year-evaluation-report,2017-03-21T11:15:55Z,research,Highways England,impact,unstated
M25 junction 5 to 7 second year evaluation report,https://www.gov.uk/government/publications/m25-junction-5-to-7-second-year-evaluation-report,2017-03-21T11:05:26Z,research,Highways England,impact,unstated
'Growing futures' programme: evaluation,https://www.gov.uk/government/publications/growing-futures-programme-evaluation,2017-03-20T09:35:57Z,research,Department for Education,impact,unstated
'Right home' project: evaluation,https://www.gov.uk/government/publications/right-home-project-evaluation,2017-03-20T09:35:46Z,research,Department for Education,process,unstated
Family learning intervention programme: evaluation,https://www.gov.uk/government/publications/family-learning-intervention-programme-evaluation,2017-03-20T09:35:28Z,research,Department for Education,impact,unstated
Stoke-on-Trent's house project: evaluation,https://www.gov.uk/government/publications/stoke-on-trents-house-project-evaluation,2017-03-20T09:34:43Z,research,Department for Education,impact,unstated
Child sexual exploitation project: Wigan and Rochdale evaluation,https://www.gov.uk/government/publications/child-sexual-exploitation-project-wigan-and-rochdale-evaluation,2017-03-20T09:30:00Z,research,Department for Education,impact,unstated
An interim evaluation of exam boards' events for teachers,https://www.gov.uk/government/publications/an-interim-evaluation-of-exam-boards-events-for-teachers,2017-03-16T14:30:21Z,research,Ofqual,process,unstated
New State Pension direct mail trial evaluation,https://www.gov.uk/government/publications/new-state-pension-direct-mail-trial-evaluation,2017-03-02T16:00:06Z,research,Department for Work and Pensions,impact,rct
Subject excellence clusters: evaluation,https://www.gov.uk/government/publications/subject-excellence-clusters-evaluation,2017-02-23T10:00:44Z,research,Department for Education,process,unstated
GCSE science: An evaluation of the expected difficulty of items,https://www.gov.uk/government/publications/gcse-science-an-evaluation-of-the-expected-difficulty-of-items,2017-02-17T16:01:29Z,research,Ofqual,evidence_synthesis,unstated
Evaluation of DFID Online Research Portals and Repositories,https://www.gov.uk/government/publications/evaluation-of-dfid-online-research-portals-and-repositories,2017-02-10T11:28:51Z,independent_report,Department for International Development,process,unstated
Evaluation of the transitional arrangements for demand-side response – phase 1,https://www.gov.uk/government/publications/evaluation-of-the-transitional-arrangements-phase-1,2017-02-09T15:15:00Z,research,"Department for Energy Security and Net Zero; Department for Business, Energy & Industrial Strategy",process,unstated
Mental health services and schools link pilot: evaluation,https://www.gov.uk/government/publications/mental-health-services-and-schools-link-pilot-evaluation,2017-02-09T15:01:00Z,research,Department for Education,impact,unstated
Overseas visitor and migrant NHS cost recovery evaluation,https://www.gov.uk/government/publications/evaluation-of-overseas-visitor-and-migrant-nhs-cost-recovery,2017-02-06T16:58:00Z,independent_report,Department of Health and Social Care,economic,survey_monitoring
Evaluating low cost interventions to encourage the use of sustainable transport,https://www.gov.uk/government/publications/evaluating-low-cost-interventions-to-encourage-the-use-of-sustainable-transport,2017-01-26T09:15:00Z,research,Department for Transport,impact,quasi_experimental
Herpes zoster (shingles) immunisation programme 2015 to 2016: evaluation report,https://www.gov.uk/government/publications/herpes-zoster-shingles-immunisation-programme-2015-to-2016-evaluation-report,2017-01-26T09:03:28Z,research,Public Health England,impact,unstated
Step Change: evaluation,https://www.gov.uk/government/publications/step-change-evaluation,2017-01-24T13:01:40Z,research,Department for Education,impact,unstated
AdOpt parenting programme: evaluation,https://www.gov.uk/government/publications/adopt-parenting-programme-evaluation,2017-01-24T13:01:35Z,research,Department for Education,impact,unstated
National female genital mutilation centre: evaluation,https://www.gov.uk/government/publications/national-female-genital-mutilation-centre-evaluation,2017-01-24T13:01:33Z,research,Department for Education,impact,unstated
Female genital mutilation early intervention model: evaluation,https://www.gov.uk/government/publications/female-genital-mutilation-early-intervention-model-evaluation,2017-01-24T13:01:24Z,research,Department for Education,impact,unstated
Ealing Brighter Futures: evaluation,https://www.gov.uk/government/publications/ealing-brighter-futures-evaluation,2017-01-24T13:01:12Z,research,Department for Education,impact,unstated
Firstline: evaluation,https://www.gov.uk/government/publications/firstline-evaluation,2017-01-24T13:01:06Z,research,Department for Education,process,unstated
Family drug and alcohol court national unit: evaluation,https://www.gov.uk/government/publications/family-drug-and-alcohol-court-national-unit-evaluation,2017-01-24T13:01:00Z,research,Department for Education,process,unstated
Assisted Digital - customer insight and pilot evaluation research,https://www.gov.uk/government/publications/assisted-digital-customer-insight-and-pilot-evaluation-research,2017-01-20T09:31:06Z,research,HM Revenue & Customs,evidence_synthesis,qualitative
Jobseeker’s Allowance sanctions early warning trial evaluation: interim report,https://www.gov.uk/government/publications/jobseekers-allowance-sanctions-early-warning-trial-evaluation-interim-report,2016-12-20T15:15:00Z,research,Department for Work and Pensions,impact,unstated
Automatic enrolment evaluation report 2016,https://www.gov.uk/government/publications/automatic-enrolment-evaluation-report-2016,2016-12-12T09:39:46Z,research,Department for Work and Pensions,process,unstated
"Evaluation: Pilot Project of Results-Based Aid in the Education Sector, Ethiopia",https://www.gov.uk/government/publications/evaluation-pilot-project-of-results-based-aid-in-the-education-sector-ethiopia,2016-12-09T11:08:32Z,independent_report,Department for International Development,impact,unstated
Evaluation of the Tilitonse Fund: Malawi,https://www.gov.uk/government/publications/evaluation-of-the-tilitonse-fund-malawi,2016-12-09T10:13:20Z,independent_report,Department for International Development,impact,unstated
Evaluation of Jobcentre Plus Support for Schools programme: Pathfinder evaluation,https://www.gov.uk/government/publications/evaluation-of-jobcentre-plus-support-for-schools-programme-pathfinder-evaluation,2016-12-09T09:30:03Z,research,Department for Work and Pensions,process,unstated
Evaluation of palliative care clinical data set,https://www.gov.uk/government/publications/evaluation-of-palliative-care-clinical-data-set,2016-12-01T00:00:00Z,research,Public Health England,evidence_synthesis,unstated
End of Life Social Action Fund: evaluation,https://www.gov.uk/government/publications/end-of-life-social-action-fund-evaluation,2016-11-17T15:28:00Z,independent_report,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",impact,unstated
Evaluation of the DFID programme to accelerate improved nutrition for the extreme poor in Bangladesh,https://www.gov.uk/government/publications/evaluation-of-the-dfid-programme-to-accelerate-improved-nutrition-for-the-extreme-poor-in-bangladesh,2016-11-07T16:20:40Z,independent_report,Department for International Development,impact,unstated
North London children’s efficiency programme: evaluation,https://www.gov.uk/government/publications/north-london-childrens-efficiency-programme-evaluation,2016-11-03T16:45:21Z,research,Department for Education,process,unstated
RESuLT training: evaluation report,https://www.gov.uk/government/publications/result-training-evaluation-report,2016-11-03T16:45:20Z,research,Department for Education,process,unstated
Mockingbird family model: evaluation,https://www.gov.uk/government/publications/mockingbird-family-model-evaluation,2016-11-03T16:45:19Z,research,Department for Education,impact,unstated
Supporting long-term foster care: evaluation,https://www.gov.uk/government/publications/supporting-long-term-foster-care-evaluation,2016-11-03T16:45:17Z,research,Department for Education,impact,unstated
Evaluation of Delivering Reproductive Health Results (DRHR) through non state providers,https://www.gov.uk/government/publications/evaluation-of-delivering-reproductive-health-results-drhr-through-non-state-providers,2016-10-28T10:01:06Z,independent_report,Department for International Development,impact,unstated
Evaluation on Strengthening Tanzania’s Anti-Corruption Action (STACA) Programme,https://www.gov.uk/government/publications/evaluation-on-strengthening-tanzanias-anti-corruption-action-staca-programme,2016-10-27T13:13:55Z,independent_report,Department for International Development,impact,unstated
Evaluation: Security sector accountability and police reform programme,https://www.gov.uk/government/publications/evaluation-security-sector-accountability-and-police-reform-programme,2016-10-27T11:43:00Z,independent_report,Department for International Development,impact,unstated
Evaluation: Trade and Global Value Chains Initiative,https://www.gov.uk/government/publications/evaluation-trade-and-global-value-chains-initiative,2016-10-27T09:54:31Z,independent_report,Department for International Development,mixed,unstated
Evaluation of Budget Support to Sierra Leone,https://www.gov.uk/government/publications/evaluation-of-budget-support-to-sierra-leone,2016-10-27T08:48:41Z,independent_report,Department for International Development,economic,unstated
Apprenticeship evaluation 2015: learner and employer surveys,https://www.gov.uk/government/publications/apprenticeship-evaluation-2015-learner-and-employer-surveys,2016-10-25T11:19:00Z,research,"Department for Education; Department for Business, Innovation & Skills",impact,survey_monitoring
New Belongings programme: evaluation,https://www.gov.uk/government/publications/new-belongings-programme-evaluation,2016-10-25T09:00:30Z,research,Department for Education,impact,unstated
Evaluation of the Intoximeter EC/IR breath testing device,https://www.gov.uk/government/publications/evaluation-of-the-intoximeter-ecir-breath-testing-device,2016-10-19T10:49:25Z,research,Home Office,process,unstated
Pension Wise service evaluation: wave 1 interim findings,https://www.gov.uk/government/publications/pension-wise-service-evaluation-wave-1-interim-findings,2016-10-18T09:00:52Z,research,Department for Work and Pensions,process,unstated
National evaluation of the first Troubled Families Programme 2012 to 2015,https://www.gov.uk/government/publications/national-evaluation-of-the-first-troubled-families-programme,2016-10-17T17:10:05Z,research,"Ministry of Housing, Communities & Local Government (2018 to 2021)",mixed,unstated
Forecast evaluation report: October 2016,https://www.gov.uk/government/publications/forecast-evaluation-report-october-2016,2016-10-12T09:06:06Z,independent_report,Office for Budget Responsibility,economic,unstated
Unfair contract terms: evaluation of OFT consumer enforcement case,https://www.gov.uk/government/publications/unfair-contract-terms-evaluation-of-oft-consumer-enforcement-case,2016-09-30T10:00:00Z,research,Competition and Markets Authority,impact,unstated
"Labour market learning, innovation and local flexibilities evaluation",https://www.gov.uk/government/publications/labour-market-learning-innovation-and-local-flexibilities-evaluation,2016-09-30T08:30:23Z,research,Department for Work and Pensions,process,unstated
Help and support for separated families innovation fund evaluation,https://www.gov.uk/government/publications/help-and-support-for-separated-families-innovation-fund-evaluation,2016-09-26T08:30:00Z,research,Department for Work and Pensions,impact,unstated
Frontline pilot: independent evaluation,https://www.gov.uk/government/publications/frontline-pilot-independent-evaluation,2016-09-20T13:46:45Z,research,Department for Education,impact,unstated
Process evaluation of pre-recorded cross-examination pilot (Section 28),https://www.gov.uk/government/publications/process-evaluation-of-pre-recorded-cross-examination-pilot-section-28,2016-09-15T10:23:00Z,research,Ministry of Justice; HM Courts & Tribunals Service,process,unstated
Longer semi-trailer trial evaluation: annual report 2015,https://www.gov.uk/government/publications/longer-semi-trailer-trial-evaluation-annual-report-2015,2016-09-06T09:30:00Z,research,Department for Transport,impact,unstated
Business Support Helpline and GOV.UK: further evaluation,https://www.gov.uk/government/publications/business-support-helpline-and-govuk-further-evaluation,2016-09-02T09:51:30Z,research,"Department for Business and Trade; Department for Business, Energy & Industrial Strategy",process,unstated
Evaluation of Climate and Development Knowledge Network,https://www.gov.uk/government/publications/evaluation-of-climate-and-development-knowledge-network,2016-08-26T13:12:14Z,independent_report,Department for International Development,impact,unstated
Evaluation of UK Futures Programme: conclusions and guidance,https://www.gov.uk/government/publications/evaluation-of-uk-futures-programme-conclusions-and-guidance,2016-08-23T20:16:12Z,research,UK Commission for Employment and Skills,mixed,unstated
UKCES Futures Programme evaluation: skills for innovation in manufacturing,https://www.gov.uk/government/publications/ukces-futures-programme-evaluation-skills-for-innovation-in-manufacturing,2016-08-17T12:51:02Z,research,UK Commission for Employment and Skills,impact,unstated
UKCES Futures Programme evaluation: management and leadership in supply chains,https://www.gov.uk/government/publications/ukces-futures-programme-evaluation-management-and-leadership-in-supply-chains,2016-08-17T10:32:24Z,research,UK Commission for Employment and Skills,impact,unstated
Evaluation of Water and Sanitation for the urban poor,https://www.gov.uk/government/publications/evaluation-of-water-and-sanitation-for-the-urban-poor,2016-08-16T09:12:50Z,independent_report,Department for International Development,impact,unstated
Evaluation Twaweza: Tanzania,https://www.gov.uk/government/publications/evaluation-twaweza-tanzania,2016-08-15T15:20:31Z,independent_report,Department for International Development,impact,unstated
UKCES Futures Programme evaluation: progression pathways in retail and hospitality,https://www.gov.uk/government/publications/ukces-futures-programme-evaluation-progression-pathways-in-retail-and-hospitality,2016-08-11T10:00:00Z,research,UK Commission for Employment and Skills,impact,unstated
Evaluating the summer 2015 results of MFLs,https://www.gov.uk/government/publications/evaluating-the-summer-2015-results-of-mfls,2016-08-09T09:19:00Z,research,Ofqual,impact,unstated
UKCES Futures Programme evaluation: leadership and entrepreneurship in small firms,https://www.gov.uk/government/publications/ukces-futures-programme-evaluation-leadership-and-entrepreneurship-in-small-firms,2016-08-05T12:15:13Z,research,UK Commission for Employment and Skills,impact,unstated
Supervised Jobsearch Pilots trial evaluation,https://www.gov.uk/government/publications/supervised-jobsearch-pilots-trial-evaluation,2016-08-04T08:30:15Z,research,Department for Work and Pensions,impact,unstated
Intensive Activity Programme trial evaluation,https://www.gov.uk/government/publications/intensive-activity-programme-trial-evaluation,2016-08-04T08:30:00Z,research,Department for Work and Pensions,impact,unstated
Transport schemes: links between appraisal and evaluation,https://www.gov.uk/government/publications/strengthening-the-links-between-appraisal-and-evaluation,2016-07-28T08:15:00Z,research,Department for Transport,feasibility,unstated
Agri-tech industrial strategy: evaluation scoping study and baseline,https://www.gov.uk/government/publications/agri-tech-industrial-strategy-evaluation-scoping-study-and-baseline,2016-07-13T08:30:04Z,research,"Department for Business, Innovation & Skills",feasibility,unstated
Evaluation of the Universal Support delivered locally trials,https://www.gov.uk/government/publications/evaluation-of-the-universal-support-delivered-locally-trials,2016-07-12T13:36:51Z,research,Department for Work and Pensions,impact,unstated
Universal Credit evaluation framework: 2016,https://www.gov.uk/government/publications/universal-credit-evaluation-framework-2016,2016-07-11T08:30:00Z,research,Department for Work and Pensions,process,unstated
Evaluation of the prepaid card live test,https://www.gov.uk/government/publications/evaluation-of-the-prepaid-card-live-test,2016-07-06T09:38:01Z,research,Department for Work and Pensions,economic,unstated
Qualitative evaluation of the DWP Innovation Fund: final report,https://www.gov.uk/government/publications/qualitative-evaluation-of-the-dwp-innovation-fund-final-report,2016-07-06T08:30:13Z,research,Department for Work and Pensions,impact,qualitative
Evaluating business support interventions: a productivity based approach,https://www.gov.uk/government/publications/evaluating-business-support-interventions-a-productivity-based-approach,2016-07-05T08:30:25Z,research,"Department for Business, Innovation & Skills",feasibility,unstated
Mid term evaluation of: stamping out and preventing gender based violence in Zambia,https://www.gov.uk/government/publications/mid-term-evaluation-of-stamping-out-and-preventing-gender-based-violence-in-zambia,2016-06-30T11:39:23Z,independent_report,Department for International Development,impact,unstated
Social work teaching partnerships programme pilots: evaluation,https://www.gov.uk/government/publications/social-work-teaching-partnerships-programme-pilots-evaluation,2016-05-24T09:00:00Z,research,Department for Education,impact,unstated
Review of Ethics Principles and Guidance in DFID Evaluation and Research,https://www.gov.uk/government/publications/review-of-ethics-principles-and-guidance-in-dfid-evaluation-and-research,2016-05-20T07:52:00Z,independent_report,Department for International Development,evidence_synthesis,unstated
ESF 2007 to 2013: evaluation of the second half of the programme,https://www.gov.uk/government/publications/esf-2007-to-2013-evaluation-of-the-second-half-of-the-programme,2016-05-16T08:30:02Z,research,Department for Work and Pensions,impact,unstated
"Evaluation: Improving the collation, availability and dissemination of national development indicators, including MDGs",https://www.gov.uk/government/publications/evaluation-improving-the-collation-availability-and-dissemination-of-national-development-indicators-including-mdgs,2016-05-09T10:35:32Z,independent_report,Department for International Development,process,unstated
Evaluation of DFID’s Humanitarian Response to Typhoon Haiyan,https://www.gov.uk/government/publications/evaluation-of-dfids-humanitarian-response-to-typhoon-haiyan,2016-05-03T15:37:58Z,independent_report,Department for International Development,impact,unstated
Evaluation of the Statebuilding Grant and the Palestinian Governance Facility,https://www.gov.uk/government/publications/evaluation-of-the-statebuilding-grant-and-the-palestinian-governance-facility,2016-05-03T15:27:33Z,independent_report,Department for International Development,mixed,unstated
Employer Investment Fund and Growth and Innovation Fund: programme level evaluation,https://www.gov.uk/government/publications/employer-investment-fund-and-growth-and-innovation-fund-programme-level-evaluation,2016-04-19T14:38:59Z,research,UK Commission for Employment and Skills,impact,unstated
Evaluation of DFID’s Approach to the Humanitarian Programme in Somalia: 2013 to 2017,https://www.gov.uk/government/publications/evaluation-of-dfids-approach-to-the-humanitarian-programme-in-somalia-2013-to-2017,2016-04-18T16:25:39Z,independent_report,Department for International Development,impact,unstated
Evaluation of the long-term development cooperation between the UK and Vietnam,https://www.gov.uk/government/publications/evaluation-of-the-long-term-development-cooperation-between-the-uk-and-vietnam,2016-04-15T14:09:04Z,independent_report,Department for International Development,impact,unstated
Better Business Compliance Partnership evaluation,https://www.gov.uk/government/publications/better-business-compliance-partnership-evaluation,2016-04-12T11:19:29Z,research,"Ministry of Housing, Communities & Local Government (2018 to 2021)",process,unstated
Cycling infrastructure: framework for evaluating economic and social impacts,https://www.gov.uk/government/publications/cycling-infrastructure-framework-for-evaluating-economic-and-social-impacts,2016-03-27T00:15:00Z,research,Department for Transport,economic,unstated
Street works lane rental evaluation,https://www.gov.uk/government/publications/street-works-lane-rental-evaluation,2016-03-24T09:15:00Z,independent_report,Department for Transport,process,unstated
UKCES Futures Programme evaluation: offsite construction,https://www.gov.uk/government/publications/ukces-futures-programme-evaluation-offsite-construction,2016-03-24T00:00:22Z,research,UK Commission for Employment and Skills,impact,unstated
Teaching schools evaluation: final research report,https://www.gov.uk/government/publications/teaching-schools-evaluation-final-research-report,2016-03-07T10:18:22Z,research,National College for Teaching and Leadership,process,unstated
"Evaluation of the Value for Money in DFID’s Health Portfolio for Bihar, Madhya Pradesh and Odisha, India",https://www.gov.uk/government/publications/evaluation-of-the-value-for-money-in-dfids-health-portfolio-for-bihar-madhya-pradesh-and-odisha-india,2016-02-23T10:38:11Z,independent_report,Department for International Development,economic,unstated
Feasibility study into evaluating the labour and childcare market impacts of Tax-Free Childcare and the Free Early Education Entitlement,https://www.gov.uk/government/publications/feasibility-study-into-evaluating-the-labour-and-childcare-market-impacts-of-tax-free-childcare-and-the-free-early-education-entitlement,2016-02-19T09:30:17Z,research,HM Revenue & Customs,feasibility,unstated
Evaluation of the DFID Syria Humanitarian Programme,https://www.gov.uk/government/publications/evaluation-of-the-dfid-syria-humanitarian-programme,2016-02-15T16:54:40Z,independent_report,Department for International Development,impact,unstated
DFID’s Health Research Programme Consortia: Mid-Term Evaluation,https://www.gov.uk/government/publications/dfids-health-research-programme-consortia-mid-term-evaluation,2016-02-15T11:02:05Z,independent_report,Department for International Development,mixed,unstated
Evaluation of the Future Agricultures Consortium (FAC): Final Report and Annexes,https://www.gov.uk/government/publications/evaluation-of-the-future-agricultures-consortium-fac,2016-02-15T10:22:38Z,independent_report,Department for International Development,evidence_synthesis,unstated
Review of the Marine Planning Monitoring and Evaluation Framework and Development of Baselines (MMO1087),https://www.gov.uk/government/publications/review-of-the-marine-planning-monitoring-and-evaluation-framework-and-development-of-baselines-1087,2016-02-12T16:26:00Z,research,Marine Management Organisation,process,unstated
Advanced Propulsion Centre: scoping evaluation,https://www.gov.uk/government/publications/advanced-propulsion-centre-scoping-evaluation,2016-02-11T16:31:31Z,research,"Department for Business, Innovation & Skills",feasibility,unstated
Aerospace Technology Institute: scoping evaluation,https://www.gov.uk/government/publications/aerospace-technology-institute-scoping-evaluation,2016-02-11T16:30:50Z,research,"Department for Business, Innovation & Skills",feasibility,unstated
Advanced Propulsion Centre: process evaluation,https://www.gov.uk/government/publications/advanced-propulsion-centre-process-evaluation,2016-02-11T16:30:00Z,research,"Department for Business, Innovation & Skills",process,unstated
Manufacturing Advisory Service (MAS): evaluation methodology,https://www.gov.uk/government/publications/manufacturing-advisory-service-mas-impact-analysis,2016-02-11T16:30:00Z,research,"Department for Business, Innovation & Skills",feasibility,unstated
"Growth Vouchers programme evaluation: cohort 1, effect at 6 months",https://www.gov.uk/government/publications/growth-vouchers-programme-evaluation-cohort-1-effect-at-6-months,2016-02-11T15:00:07Z,research,"Department for Business, Innovation & Skills",impact,survey_monitoring
Evaluation of the Accountability in Tanzania Programme,https://www.gov.uk/government/publications/evaluation-of-the-accountability-in-tanzania-programme,2016-02-04T16:06:22Z,independent_report,Department for International Development,feasibility,unstated
Evaluation of the Nigerian Infrastructure Advisory Facility II (NIAF II),https://www.gov.uk/government/publications/evaluation-of-the-nigerian-infrastructure-advisory-facility-ii-niaf-ii,2016-02-03T15:34:41Z,independent_report,Department for International Development,impact,unstated
Evaluation DFID Civil Society Challenge Fund,https://www.gov.uk/government/publications/evaluation-dfid-civil-society-challenge-fund,2016-02-01T16:02:22Z,independent_report,Department for International Development,impact,unstated
Evaluation of the Africa Regional Technical Assistance Centre South,https://www.gov.uk/government/publications/evaluation-of-the-africa-regional-technical-assistance-centre-south,2016-02-01T15:55:54Z,independent_report,Department for International Development,process,unstated
Evaluation Report: Global Poverty Action Fund Mid-Term,https://www.gov.uk/government/publications/evaluation-report-global-poverty-action-fund-mid-term,2016-01-29T11:04:40Z,independent_report,Department for International Development,impact,unstated
Evaluation of the Humanitarian Innovation and Evidence Programme,https://www.gov.uk/government/publications/evaluation-of-the-humanitarian-innovation-and-evidence-programme,2016-01-29T10:33:21Z,independent_report,Department for International Development,mixed,unstated
European Social Fund (ESF) support for families with multiple problems evaluation,https://www.gov.uk/government/publications/european-social-fund-esf-support-for-families-with-multiple-problems-evaluation,2016-01-28T09:30:35Z,research,Department for Work and Pensions,impact,unstated
In-work progression advice trial evaluation,https://www.gov.uk/government/publications/in-work-progression-advice-trial-evaluation,2016-01-26T09:30:10Z,research,Department for Work and Pensions,impact,qualitative
Cross Cutting Evaluation of DFID’s Approach to Remote Management in Somalia and North-East Kenya,https://www.gov.uk/government/publications/cross-cutting-evaluation-of-dfids-approach-to-remote-management-in-somalia-and-north-east-kenya,2016-01-25T16:15:00Z,independent_report,Department for International Development,process,unstated
Evaluation of Results Based Aid in Rwandan Education: 2013 Evaluation Report,https://www.gov.uk/government/publications/evaluation-of-results-based-aid-in-rwandan-education-2013-evaluation-report,2016-01-25T15:07:27Z,independent_report,Department for International Development,impact,unstated
Support to Accountable Security and Justice in the Occupied Palestinian Territories: Final Evaluation,https://www.gov.uk/government/publications/support-to-accountable-security-and-justice-in-the-occupied-palestinian-territories-final-evaluation,2016-01-21T16:39:00Z,independent_report,Department for International Development,impact,unstated
Evaluation of Gaming Machine (Circumstances of Use)(Amendment) Regulations 2015,https://www.gov.uk/government/publications/evaluation-of-gaming-machine-circumstances-of-useamendment-regulations-2015,2016-01-21T07:00:01Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",economic,unstated
Evaluation of Adaptation learning programme CARE International,https://www.gov.uk/government/publications/evaluation-of-adaptation-learning-programme-care-international,2016-01-20T16:07:13Z,independent_report,Department for International Development,unclear,unstated
Evaluating youth social action,https://www.gov.uk/government/publications/evaluating-youth-social-action,2016-01-15T16:14:45Z,research,Cabinet Office,impact,unstated
Community First Neighbourhood Matched Fund: evaluation,https://www.gov.uk/government/publications/community-first-neighbourhood-matched-fund-evaluation,2015-12-23T14:28:55Z,research,Cabinet Office,impact,unstated
Community Organisers programme: evaluation,https://www.gov.uk/government/publications/community-organisers-programme-evaluation,2015-12-23T14:26:49Z,research,Cabinet Office,impact,unstated
Regional Growth Fund: impact and economic evaluation options,https://www.gov.uk/government/publications/regional-growth-fund-impact-and-economic-evaluation-options,2015-12-21T15:51:00Z,research,"Department for Business, Innovation & Skills",mixed,unstated
Evaluation of independent child trafficking advocates trial: final report,https://www.gov.uk/government/publications/evaluation-of-independent-child-trafficking-advocates-trial-final-report,2015-12-17T12:23:13Z,research,Home Office,impact,unstated
Removal of the Spare Room Subsidy evaluation: final report,https://www.gov.uk/government/publications/removal-of-the-spare-room-subsidy-evaluation-final-report,2015-12-17T11:00:00Z,research,Department for Work and Pensions,impact,unstated
Mid-term evaluation of the performance of the operations of MiCRO in Haiti,https://www.gov.uk/government/publications/mid-term-evaluation-of-the-performance-of-the-operations-of-micro-in-haiti,2015-12-16T12:11:28Z,independent_report,Department for International Development,process,unstated
Mid term evaluation: Africa Regional Empowerment and Accountability Programme (AREAP),https://www.gov.uk/government/publications/mid-term-evaluation-africa-regional-empowerment-and-accountability-programme-areap,2015-12-15T11:36:11Z,independent_report,Department for International Development,process,unstated
Evaluation of: The Caribbean Aid for Trade and  Regional Integration Trust Fund (CARTFUND),https://www.gov.uk/government/publications/evaluation-of-the-caribbean-aid-for-trade-and-regional-integration-trust-fund-cartfund,2015-12-15T10:59:59Z,independent_report,Department for International Development,impact,unstated
Evaluation of:  Improving Food Security for the People of Gaza programme,https://www.gov.uk/government/publications/evaluation-of-improving-food-security-for-the-people-of-gaza-programme,2015-12-14T16:17:06Z,independent_report,Department for International Development,impact,unstated
Impact Evaluation of DFIDs Electoral Programmes in Pakistan,https://www.gov.uk/government/publications/impact-evaluation-of-dfids-electoral-programmes-in-pakistan,2015-12-08T15:13:00Z,independent_report,Department for International Development,impact,unstated
Evaluation of the Developing Operational Research Capacity in the Health Sector Project,https://www.gov.uk/government/publications/evaluation-of-the-developing-operational-research-capacity-in-the-health-sector-project,2015-12-08T14:35:00Z,independent_report,Department for International Development,mixed,unstated
Herpes zoster (shingles) immunisation programme 2014 to 2015: evaluation report,https://www.gov.uk/government/publications/herpes-zoster-shingles-immunisation-programme-2014-to-2015-evaluation-report,2015-12-04T13:21:45Z,research,Public Health England,impact,unstated
Evaluation of the plans for the 2014 to 2020 ESF Programme in England,https://www.gov.uk/government/publications/evaluation-of-the-plans-for-the-2014-to-2020-esf-programme-in-england,2015-11-26T09:30:14Z,research,Department for Work and Pensions,feasibility,unstated
Automatic enrolment evaluation report 2015,https://www.gov.uk/government/publications/automatic-enrolment-evaluation-report-2015,2015-11-18T09:30:09Z,research,Department for Work and Pensions,process,unstated
Apprenticeship trailblazers evaluation,https://www.gov.uk/government/publications/apprenticeship-trailblazers-evaluation-final-report,2015-11-17T09:00:00Z,research,"Department for Business, Innovation & Skills",process,unstated
Advanced Manufacturing Supply Chain Initiative (AMSCI): impact and evaluation options,https://www.gov.uk/government/publications/advanced-manufacturing-supply-chain-initiative-amsci-impact-and-evaluation-options,2015-11-04T09:30:00Z,research,"Department for Business, Innovation & Skills",feasibility,unstated
Advanced Manufacturing Supply Chain Initiative (AMSCI): process evaluation,https://www.gov.uk/government/publications/advanced-manufacturing-supply-chain-initiative-amsci-process-evaluation,2015-11-04T09:30:00Z,research,"Department for Business, Innovation & Skills",process,unstated
Evaluating the impact of UKTI trade services on the performance of supported firms,https://www.gov.uk/government/publications/evaluating-the-impact-of-ukti-trade-services-on-the-performance-of-supported-firms,2015-11-03T12:12:37Z,research,UK Trade & Investment,impact,unstated
Evaluation of the impact and cost-effectiveness of UKTI’s support for events,https://www.gov.uk/government/publications/evaluation-of-the-impact-and-cost-effectiveness-of-uktis-support-for-events,2015-11-03T12:06:45Z,research,UK Trade & Investment,economic,economic_model
Annual Tax Summaries Evaluation,https://www.gov.uk/government/publications/annual-tax-summaries-evaluation,2015-11-03T09:30:36Z,research,HM Revenue & Customs,process,survey_monitoring
Competition Act 1998 abuse of dominance: evaluation of OFT decision,https://www.gov.uk/government/publications/competition-act-1998-abuse-of-dominance-evaluation-of-oft-decision,2015-10-23T11:04:00Z,research,Competition and Markets Authority,mixed,unstated
Evaluation of the Right to Rent scheme,https://www.gov.uk/government/publications/evaluation-of-the-right-to-rent-scheme,2015-10-20T09:30:00Z,research,Home Office,mixed,unstated
